,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
2,frozenset({'Broadband Basic'}),frozenset({'Broadband Premium'}),0.33617021276595743,0.7425531914893617,0.30319148936170215,0.9018987341772153,1.214591418519459,0.05356722498868269,2.624296499656833
39,frozenset({'DSL'}),frozenset({'Broadband Premium'}),0.5468085106382978,0.7425531914893617,0.5063829787234042,0.9260700389105059,1.2471430323436612,0.10034857401539155,3.4823068309070564
42,frozenset({'Postpaid'}),frozenset({'Broadband Premium'}),0.5404255319148936,0.7425531914893617,0.5053191489361702,0.9350393700787403,1.2592220743180742,0.1040244454504301,3.9631205673758934
44,frozenset({'Postpaid Platinum'}),frozenset({'Broadband Premium'}),0.5553191489361702,0.7425531914893617,0.5308510638297872,0.9559386973180076,1.287367300113076,0.11849705749207784,5.842923219241437
47,frozenset({'Postpaid Roaming'}),frozenset({'Broadband Premium'}),0.5425531914893617,0.7425531914893617,0.5159574468085106,0.9509803921568628,1.2806899264003597,0.11308284291534632,5.251914893617028
49,frozenset({'Wireless Broadband'}),frozenset({'Broadband Premium'}),0.6202127659574468,0.7425531914893617,0.5702127659574469,0.9193825042881648,1.238136896892371,0.10967179719330017,3.1934359438660085
65,frozenset({'DSL'}),frozenset({'Wireless Broadband'}),0.5468085106382978,0.6202127659574468,0.5138297872340426,0.9396887159533076,1.5151070205765167,0.17469216840199192,6.297117364447518
481,"frozenset({'Broadband Premium', 'DSL'})",frozenset({'Broadband Family'}),0.5063829787234042,0.7585106382978724,0.4563829787234043,0.9012605042016808,1.1881975791719215,0.07228610230873705,2.4457220461747426
482,"frozenset({'Broadband Family', 'DSL'})",frozenset({'Broadband Premium'}),0.4797872340425532,0.7425531914893617,0.4563829787234043,0.951219512195122,1.2810119505206514,0.10011543684925306,5.277659574468092
503,"frozenset({'Postpaid', 'Broadband Family'})",frozenset({'Broadband Premium'}),0.43829787234042555,0.7425531914893617,0.42340425531914894,0.9660194174757281,1.3009430550532728,0.09794477138976909,7.576291793313048
509,"frozenset({'Postpaid Platinum', 'Broadband Family'})",frozenset({'Broadband Premium'}),0.48936170212765956,0.7425531914893617,0.47127659574468084,0.9630434782608696,1.2969353432166437,0.10789950203712084,6.966207759699622
516,"frozenset({'Broadband Family', 'Postpaid Roaming'})",frozenset({'Broadband Premium'}),0.4765957446808511,0.7425531914893617,0.45851063829787236,0.9620535714285714,1.295602230863692,0.1046129470348574,6.784480600750933
534,"frozenset({'Broadband Family', 'Wireless Broadband'})",frozenset({'Broadband Premium'}),0.526595744680851,0.7425531914893617,0.498936170212766,0.9474747474747476,1.2759688576307489,0.10791081937528296,4.901391162029469
549,"frozenset({'F2H Fiber', 'DSL'})",frozenset({'Broadband Family'}),0.4074468085106383,0.7585106382978724,0.3680851063829787,0.9033942558746736,1.1910106599189245,0.059032367587143475,2.4997412305922935
561,"frozenset({'Postpaid Platinum', 'DSL'})",frozenset({'Broadband Family'}),0.4223404255319149,0.7585106382978724,0.39680851063829786,0.9395465994962215,1.2386729362222275,0.07645880488909007,3.994636524822687
568,"frozenset({'Postpaid Roaming', 'DSL'})",frozenset({'Broadband Family'}),0.425531914893617,0.7585106382978724,0.39787234042553193,0.935,1.232678821879383,0.07510185604345859,3.715220949263505
580,"frozenset({'Prepaid International', 'DSL'})",frozenset({'Broadband Family'}),0.3617021276595745,0.7585106382978724,0.32659574468085106,0.9029411764705881,1.190413332233314,0.05224083295608872,2.488072211476464
585,"frozenset({'Broadband Family', 'DSL'})",frozenset({'Wireless Broadband'}),0.4797872340425532,0.6202127659574468,0.46063829787234045,0.960088691796009,1.547998919876927,0.16306813037573564,9.515780141843997
678,"frozenset({'Postpaid Platinum', 'F2H Fiber'})",frozenset({'Broadband Family'}),0.4117021276595745,0.7585106382978724,0.3776595744680851,0.917312661498708,1.209360311092266,0.06537913082842917,2.9205119680851075
